upc,walmart_itemId,brand,model,name,price,rating_avg,rating_count
194253563624,3635657547,Beats by Dr. Dre,Buds +,Beats Studio Buds + True Wireless Noise Cancelling Earbuds - Black/Gold,99.95,4.3,1085
195949704529,5689919121,Apple,MTJV3AM/A,"Apple AirPods Pro 2, Wireless Earbuds, Active Noise Cancellation, Hearing Aid Feature",199.0,4.6,26469
017817853460,6525919624,Bose,888507-0100,"Bose QuietComfort Earbuds, Wireless Noise Cancelling Earbuds, Black",179.0,4.3,1129
810045688169,1496314895,Skullcandy,S2DUYK-Q778,"Skullcandy Jib XT Wired Inner Ear Earbuds, 3.5mm Jack, Black",7.41,4.4,2387
887276811895,5020183343,Samsung,SM-R400NZAWXAR,"Samsung Galaxy Buds FE Bluetooth Earbuds with Charging Case, Graphite",99.0,4.5,3666
195949688522,11381374703,Apple,MXP63LL/A,Apple AirPods 4,119.0,4.3,10279
195949116711,5321127916,Beats by Dr. Dre,MUW03LL/A,"Beats by Dr. Dre Beats Solo Buds Bluetooth In-Ear Earbuds, Transparent Red",79.95,4.2,2428
195949689604,11384707978,Apple,MXP93LL/A,Apple AirPods 4 with Active Noise Cancellation,168.99,4.4,4098
198957214448,16732318812,Samsung,Buds3 FE,"Samsung Galaxy Buds3 FE Bluetooth Headphones and Charging Case, Black",149.99,4.6,26
812887017213,799981023,JLab,EBGAIRPOPRSLT124,"JLab Go Air Pop Bluetooth Earbuds, True Wireless with Charging Case",19.88,4.5,21622
810045688787,1546280223,Skullcandy,S2TAW-Q740,"Skullcandy Smokin' Buds XT True Wireless in-Ear Earbuds, Black",14.88,4.4,5628
744581919312,360113931,ETEPEHI,Q28,"Wireless Earbuds - 68Hrs Bluetooth 5.3 Headphone Sport, 2025 Bluetooth Earbuds Stereo Deep Bass Over Ear Bud with Earhooks, ENC Noise Cancelling Mic, IP8 Waterproof Earphone",19.79,4.7,258
810119072436,13233571436,JLab,POP ANC,"JLab GO Pop Active Noise Cancelling Bluetooth Earbuds, Charging Case, Fuchsia",24.99,4.4,1590
812887019699,988529517,JLab,EBGAIRSPRTRBLU124,"JLab Go Air Sport Bluetooth Earbuds, True Wireless with Charging Case",29.99,4.2,3728
744581919305,215499754,ETEPEHI,Q61,"ETEPEHI Wireless Earbuds: 48H Play Back Sport Bluetooth Headphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Sport, Black",19.59,4.8,215
744581919329,226361356,ETEPEHI,Q38,"ETEPEHI Wireless Earbuds - Bluetooth Headphones 5.3 Stereo over Ear Buds with Earhooks, ENC Noise Cancelling Mic, IP7 Waterproof Earphone for Workout/Running, Black",19.79,4.8,265
681131415309,416099849,Onn,VIPRB-36186459,"onn Wired Earphones with Mic-3.5mm jack, Black",5.27,4.3,2399
050036405041,15592822851,JBL,JBLVBEAM2BLKAM,JBL Vibe Beam 2 - True Wireless Noise Cancelling Earbuds - Black,39.95,4.3,78
810119071835,7639371267,JLab,Flex Open Earbuds,"JLab Flex Open Earbuds, Black, Open-Ear Clip Design, 21+ Hr Playtime, IPX4, Multipoint, Clear Calls, Fast Pair",42.49,4.3,711
717690714918,16121771376,Aptkdoe,SU8-black1,"Sleep Earbuds, Noise Cancelling Wireless Ear buds for Side Sleepers, Bluetooth 5.4 in Ear Light-Weight Mini Headphones, 47H Playtime Clear Calls Earphones for Sleeping, Exercising, Working, Hiking",21.99,4.7,102
681131414548,523104996,Onn,AAWHT100069415,"onn Bluetooth Wireless Earphones with Environmental Noise Canceling Microphones and Charging Case, White",16.43,4.2,3801
704505645376,16732023947,WeurGhy,W53,"Wireless Bluetooth Earbuds Noise Cancelling in Ear Buds Deep Bass Stereo, 50H Playtime with Mics, LED Display, IPX7 Waterproof Earphones for iphone Android Laptop, Black",16.99,5.0,13
050036404938,13895355965,JBL,JBLVFLEX2WHTAM,JBL Vibe Flex 2 - True Wireless Earbuds - White,74.95,4.1,308
810119070524,3487273157,JLab,EBJBMINIRBLK124,"JLab JBuds Mini True Wireless Earbuds, Black, Bluetooth Multipoint, Be Aware, IP55, 3 EQ Modes, Clear Calls",39.88,4.5,1699
841351180177,252575372,Tzumi,8017,"Probuds V2 – True Wireless Bluetooth Earbuds with Charging Case, Auto Pairing & Built-in Mic",19.98,4.4,1670
681131312332,860531889,Onn,AAABLK100024300,"onn Bluetooth Wireless Earphones w/Charging Case and Touch Controls, Black",17.88,4.0,2534
717690714802,16119221780,Aptkdoe,A90-black1,"Wireless Earbuds, Bluetooth 5.4 Headphones Bass Stereo, Ear Buds with Noise Cancelling Mic LED Display, 36H Playtime in Ear Earphones, IP7 Waterproof Sport Headset for Android iOS",18.99,4.7,438
810145323182,13958720934,Skullcandy,S2MTW-T794,"Skullcandy Method 360 ANC XT True Wireless in-Ear Earbuds, True Black",88.51,4.2,1427
810045688442,13825259413,Skullcandy,S2DCW-Q740,"Skullcandy Dime 3 XT True Wireless in-Ear Earbuds, True Black",29.84,4.3,178
852651007002,55509211,generic,E138,Stereo Earphones,1.0,3.4,1379
919462115934,689734331,Hoey,I25,"Wireless Earbuds, Bluetooth 5.3 Headphones Bass Stereo, Bluetooth Earbuds with Noise Cancelling Mic, IP7 Waterproof in Ear Earphones, 36H LED Display Ear Buds for Laptop Pad Phones Sports",18.89,4.4,3322
932113800003,1255341389,VEAT00L,VEAT00L T6,"VEAT00L Wireless Earbuds Bluetooth Headphone Sport, Bluetooth 5.4 Earbud, 72Hrs Earphone with Earhook, Noise Cancelling Mic, IP7 Waterproof Headset for Workout/Running",129.99,4.4,3820
797417134564,5555419256,Baseus,Baseus E20 earbuds,"Baseus True Wireless Earbuds 33H Playtime Bluetooth Ear Buds IPX5 Waterproof In-Ear Earphones with Mic, E20 Black",9.99,4.4,61
810145321973,13008011139,Skullcandy,Jib XT,"Skullcandy Jib XT In-ear Earbuds with Microphone, USBC, Black",7.41,4.4,76
050036395403,1597454551,JBL,JBL Tune Beam,"JBL Tune Beam, True wireless Noise Cancelling earbuds",58.95,4.3,1751
027242930339,10280316038,Sony,WF-C510/B,"Sony WF-C510 Truly Wireless Earbud Headphones, Black",68.0,4.4,203
732322653069,11695072440,Monster,MH22210,"Monster Open Ear Wireless Earbuds, Comfortable Clip-on Earbuds with Noise Cancellation, Touch Control & IPX5 Waterproof Headphones for Sport, White",29.88,3.9,674
841351195508,5464020432,Tzumi,PROBUDS Open Ear Earbuds,"Tzumi PROBUDS Open Ear Earbuds, In-Ear Headphone Type, with Charging Case, Black, 6 Count",19.88,4.3,65
810045689470,5262767217,Skullcandy,S2PPW-S759,"Skullcandy Push Play XT True Wireless Bluetooth In-Ear Earbuds with Charging Case, Black, S2PPW-S759",62.88,4.3,274
027242900479,479338409,Sony,MDREX14AP/B6,"Sony MDR-EX14AP Wired In-ear Earbud Headphones with Microphone, Black",12.95,4.3,1924
681131310383,789862597,Onn,578486176,"onn In-Ear Headphones, Blue",4.88,3.9,625
027242900486,962793502,Sony,MDREX14AP/W6,"Sony MDR-EX14AP Wired In-ear Earbud Headphones with Microphone, White",9.99,4.3,1922
